,minLC,maxLC,minNu,maxNu,G_Voigt_Reuss_Hill,K_Voigt_Reuss_Hill
mp-27726,60.60606060606064,90.9090909090909,-0.23478745070444454,0.5511258023458337,3.0,5.0
mp-8459,2.0362933183209875,9.256449482974036,0.1786342489995453,0.5092333519865697,25.820746630294934,57.88351004171194
mp-8231,1.9801980198019802,1.9801980198019802,0.23529830060674303,0.3613139752501067,84.27063569179725,168.2000134925836
mp-7288,2.3666092943201367,2.4328081556997225,0.2019762680795087,0.38378352668978793,67.27325038441575,139.50278647066736
mp-5126,1.9653179190751435,7.5301734104046245,0.16116166308554503,0.45919273409744,32.028337052120136,68.17318454634398
mp-5625,-9.495796373068995,24.920675359566427,0.07517856546277255,0.9282487483616958,11.0,48.0
mp-7622,-3.7337134939473895,37.73034120571098,-0.1843977442410379,0.826775923002471,9.694348905913142,20.14659648691749
mp-3164,4.92168579162265,8.889139766737362,0.04593011945770398,0.698578853199388,18.525042147382177,51.63190105923482
mp-5285,4.5157929128365435,7.659364044963665,0.17284235705701229,0.5044672315516056,24.0,59.0
mp-7787,2.4330900243308995,2.433090024330901,0.301653433582033,0.3309699239251303,57.20079652098806,137.04237959014557
mp-28711,11.969278769687504,75.233715639696,-0.22083529236441443,0.7532880948835406,11.013134157673012,12.882819368725347
mp-28952,-22.749699488272906,61.303034376392866,-2.267372294905158,3.2942197165744544,11.651422857923889,26.24165213572875
mp-20525,1.7044815300956313,8.471779486217887,0.11220476489227944,0.5464244915138726,25.56540634520749,60.46250487635355
mp-27891,4.357486633115328,16.140758595240527,-0.023022919517589422,0.745376739408895,22.737985463488883,44.34627919031817
mp-4112,6.7227946720281455,24.817793415431016,0.12878541258131904,0.5768324616192514,7.599486054704627,23.602214353610382
mp-1019509,1.4669293124556946,50.798769406701545,-0.3674697694241706,0.5608411038580937,25.000648254812447,28.557523545792577
mp-505782,10.244966272759548,22.06217984480397,0.17872631624685076,0.39752407152682256,9.83274189155398,21.514062363545
mp-3472,6.875420372169497,10.051565652791272,0.08727181795448863,0.5169440914952322,18.222570013373222,40.15463225204772
mp-1018030,6.130063965884862,6.796375266524522,0.05987660705990452,0.589830473431561,32.0,51.0
mp-4264,9.466136015478028,36.00251598409283,0.08646436020709967,0.6428014127839533,9.548798360765252,19.34482226615715
mp-4529,10.979239041510057,11.749919967749967,0.11409372706575628,0.5140267561956815,14.0,29.0
mp-4770,5.837746605835827,10.783648555667172,0.08645980335922734,0.45808361645671963,23.0,43.0
mp-3372,11.276499774470004,14.88497970230041,0.19444420442151658,0.3719121451258824,13.02804332808822,25.376435593891856
mp-3519,2.5575447570332477,2.5575447570332486,0.32107984384810195,0.3342906323624117,50.294913521640154,130.14857314559856
mp-545756,4.672897196261675,4.672897196261683,-0.20698776144888098,1.0958178914096848,8.205568540911932,71.6331705989848
mp-5046,1.8947368421052633,14.105263157894743,-0.37336139673158597,0.4328358208955226,34.96690145725847,35.903563937400406
mp-7204,4.139562389118865,6.357185097575399,0.2473383144776944,0.3434962161534667,32.42274522774518,68.9757329139982
mp-558432,7.189231987331748,17.925574030087095,0.16745275232393056,0.42106749359216195,14.21981703882027,27.957700690935308
mp-555576,6.6428975141305155,22.43398408328757,0.01960240661616789,0.6132080236426534,11.0,23.0
mp-542136,8.347978910369063,9.666080843585236,0.1732545238171108,0.3733145138280447,21.094386399146583,38.07371557333413
mp-11738,10.532540005173882,14.104980474765025,0.1705322112305055,0.5040873745641063,12.617028210460802,27.138272466605642
mp-6179,7.57420675537359,10.644831115660187,0.19758065328664587,0.3449688042415434,18.52425452486521,34.98062953961143
mp-9453,2.9333333333333336,7.36,0.19736842105263153,0.36116141870501883,41.90623945135697,78.60762904958992
