,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax
mp-27726,60.60606060606064,90.9090909090909,-0.23478745070444454,0.5511258023458337,5.0,5.500000000000001,9.183673462741256,2.0000000000002234,6.000000000000002
mp-8459,2.0362933183209875,9.256449482974036,0.1786342489995453,0.5092333519865697,57.88351004171194,54.23370219331006,94.50930771703753,20.000000182411576,35.00000000000001
mp-8231,1.9801980198019802,1.9801980198019802,0.23529830060674303,0.3613139752501067,168.2000134925836,196.0292135535843,234.7066770959255,72.0000000255905,94.9999940343875
mp-7288,2.3666092943201367,2.4328081556997225,0.2019762680795087,0.38378352668978793,139.50278647066736,159.13069365882703,186.72886130302274,57.500000030610444,76.00000000000003
mp-5126,1.9653179190751435,7.5301734104046245,0.16116166308554503,0.45919273409744,68.17318454634398,57.132328462444185,116.45989131636482,20.0,40.99999999999973
mp-5625,-9.495796373068995,24.920675359566427,0.07517856546277255,0.9282487483616958,48.0,14.091710182767626,39.94114056620808,6.153199542926936,14.999999999996072
mp-7622,-3.7337134939473895,37.73034120571098,-0.1843977442410379,0.826775923002471,20.14659648691749,10.709212184211745,45.443926171012755,4.305301617280713,20.165111115927928
mp-3164,4.92168579162265,8.889139766737362,0.04593011945770398,0.698578853199388,51.63190105923482,26.425354092746584,78.83598219961857,7.999999999999998,27.725965111667225
mp-5285,4.5157929128365435,7.659364044963665,0.17284235705701229,0.5044672315516056,59.0,47.25493848987897,86.5237304206614,16.0,33.999992055843066
mp-7787,2.4330900243308995,2.433090024330901,0.301653433582033,0.3309699239251303,137.04237959014557,146.69131832797427,152.48187632853313,55.50000081235941,58.000000000000014
mp-28711,11.969278769687504,75.233715639696,-0.22083529236441443,0.7532880948835406,12.882819368725347,8.060967080270112,76.18545361284836,3.262748209829428,29.993802440333766
mp-28952,-22.749699488272906,61.303034376392866,-2.267372294905158,3.2942197165744544,26.24165213572875,1.9531159320160278,103.37747599395107,0.5610373097830469,32.1762475547909
mp-20525,1.7044815300956313,8.471779486217887,0.11220476489227944,0.5464244915138726,60.46250487635355,43.42865676510254,101.46562818629782,14.999999999999996,38.0
mp-27891,4.357486633115328,16.140758595240527,-0.023022919517589422,0.745376739408895,44.34627919031817,34.88467318399431,119.4812382739212,10.000000197937437,45.30375996418536
mp-4112,6.7227946720281455,24.817793415431016,0.12878541258131904,0.5768324616192514,23.602214353610382,14.773175545313995,25.0276477963509,5.000000166196244,9.999999997446839
mp-1019509,1.4669293124556946,50.798769406701545,-0.3674697694241706,0.5608411038580937,28.557523545792577,18.00801729078943,139.81479639191318,11.929045562073362,53.806162080600934
mp-505782,10.244966272759548,22.06217984480397,0.17872631624685076,0.39752407152682256,21.514062363545,19.01350048216008,28.13114754057641,7.889955984371847,11.000000000000002
mp-3472,6.875420372169497,10.051565652791272,0.08727181795448863,0.5169440914952322,40.15463225204772,34.49726886923606,60.88849751672585,11.999999999999998,25.585083657552563
mp-1018030,6.130063965884862,6.796375266524522,0.05987660705990452,0.589830473431561,51.0,50.87457627118644,115.44615384615385,16.00000001965442,46.565306959335565
mp-4264,9.466136015478028,36.00251598409283,0.08646436020709967,0.6428014127839533,19.34482226615715,14.277581354519747,40.69566061194925,6.000000008349756,17.999999999999993
mp-4529,10.979239041510057,11.749919967749967,0.11409372706575628,0.5140267561956815,29.0,27.25232097573738,42.14032879767281,9.000000296478756,17.000000000000004
mp-4770,5.837746605835827,10.783648555667172,0.08645980335922734,0.45808361645671963,43.0,43.13908827080411,91.01309186122627,15.0000013081468,32.33684779436659
mp-3372,11.276499774470004,14.88497970230041,0.19444420442151658,0.3719121451258824,25.376435593891856,30.081632666231723,35.05418227086752,11.000000634404842,14.000000000000004
mp-3519,2.5575447570332477,2.5575447570332486,0.32107984384810195,0.3342906323624117,130.14857314559856,132.99319727891154,135.34615384452692,50.00000033292241,51.00000000000001
mp-545756,4.672897196261675,4.672897196261683,-0.20698776144888098,1.0958178914096848,71.6331705989848,10.331034482758621,42.05240165899828,3.500000911208904,15.000000000000004
mp-5046,1.8947368421052633,14.105263157894743,-0.37336139673158597,0.4328358208955226,35.903563937400406,55.25592009729097,91.71950917369576,22.51572836156547,54.22006970363253
mp-7204,4.139562389118865,6.357185097575399,0.2473383144776944,0.3434962161534667,68.9757329139982,76.0695594430264,93.98070243149364,29.0,35.99999999942705
mp-558432,7.189231987331748,17.925574030087095,0.16745275232393056,0.42106749359216195,27.957700690935308,27.902263280628183,52.53743760399335,10.000000090401658,19.26479081079352
mp-555576,6.6428975141305155,22.43398408328757,0.01960240661616789,0.6132080236426534,23.0,18.502937024348732,47.00964311944415,6.844958359661768,19.621388139401084
mp-542136,8.347978910369063,9.666080843585236,0.1732545238171108,0.3733145138280447,38.07371557333413,47.8078213356851,61.12941928632303,18.14589828726,24.854101958036804
mp-11738,10.532540005173882,14.104980474765025,0.1705322112305055,0.5040873745641063,27.138272466605642,24.06264984697463,40.36648433615116,8.00000066117292,16.723732985021098
mp-6179,7.57420675537359,10.644831115660187,0.19758065328664587,0.3449688042415434,34.98062953961143,44.10503965842608,61.83544303797469,16.999999999999996,21.677657933229057
mp-9453,2.9333333333333336,7.36,0.19736842105263153,0.36116141870501883,78.60762904958992,82.23684210526315,130.43478260869566,38.0,49.999999003437665
